Serial No.,Session ID:,Timestamp (UTC),Country,Age,Gender,Education,Education Type,Mood,Tiredness,Interests,Selection,Time,File Name,URL,Video_ID,Browser,Screen Size,OS,Height,Width,FPS,Aspect Ratio,Bitrate (Kbps),File Size (MB),PROLIFIC_PID
11,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:25:13 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Good,"1600 ms",config.xlsx,S_20_V80_30.mp4,45,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,5419,12.95,67276dbe692855fb2502a266
12,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:25:24 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Excellent,"4400 ms",config.xlsx,S_6_V100_50.mp4,14,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,12952,29.46,5c83dfef72a7ef00107828b5
13,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:25:34 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Excellent,"1400 ms",config.xlsx,S_2_V50_100.mp4,4,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,8263,18.80,67276dbe692855fb2502a266
14,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:25:54 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Poor,"4000 ms",config.xlsx,S_1_V80_30.mp4,2,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,2233,6.56,5c83dfef72a7ef00107828b5
15,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:25:57 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Good,"2000 ms",config.xlsx,S_9_V50_100.mp4,22,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,21809,52.13,67276dbe692855fb2502a266
16,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:26:19 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Fair,"3900 ms",config.xlsx,S_23_V30_80.mp4,53,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,1902,4.55,5c83dfef72a7ef00107828b5
17,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:26:20 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Poor,"1900 ms",config.xlsx,S_12_V80_30.mp4,28,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,3553,8.49,67276dbe692855fb2502a266
18,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:26:45 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Good,"3700 ms",config.xlsx,S_22_V30_80.mp4,50,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,6846,16.36,67276dbe692855fb2502a266
19,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:27:08 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Poor,"2000 ms",config.xlsx,S_9_V80_30.mp4,21,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,1959,4.68,67276dbe692855fb2502a266
20,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:27:24 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Fair,"4300 ms",config.xlsx,L_8_V100_50.mp4,66,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,17100,122.43,5c83dfef72a7ef00107828b5
21,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:27:50 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Fair,"3900 ms",config.xlsx,S_21_V80_30.mp4,49,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,4663,11.15,5c83dfef72a7ef00107828b5
22,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:28:10 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Fair,"1100 ms",config.xlsx,L_13_V80_30.mp4,69,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,5609,40.16,67276dbe692855fb2502a266
23,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:28:14 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Fair,"3400 ms",config.xlsx,S_8_V100_50.mp4,19,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,24218,57.89,5c83dfef72a7ef00107828b5
24,cbdd475b3d298234ad4f13589445f4ca,"Tuesday 11th of February 2025 01:28:25 PM UTC",Denmark,"31 to 45",Other,GCSEs,Other,"Positive (+)",Low,Art,Fair,"2500 ms",config.xlsx,S_26_V100_50.mp4,60,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,,,55e04d4c3b268b00110294fe
25,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:28:34 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Good,"3200 ms",config.xlsx,S_15_V30_80.mp4,34,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,5511,13.17,67276dbe692855fb2502a266
26,cbdd475b3d298234ad4f13589445f4ca,"Tuesday 11th of February 2025 01:28:47 PM UTC",Denmark,"31 to 45",Other,GCSEs,Other,"Positive (+)",Low,Art,Poor,"1100 ms",config.xlsx,S_21_V30_80.mp4,48,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,4624,11.05,55e04d4c3b268b00110294fe
27,cbdd475b3d298234ad4f13589445f4ca,"Tuesday 11th of February 2025 01:29:10 PM UTC",Denmark,"31 to 45",Other,GCSEs,Other,"Positive (+)",Low,Art,Fair,"2500 ms",config.xlsx,S_7_V80_30.mp4,16,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,877,2.10,55e04d4c3b268b00110294fe
28,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:29:19 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Poor,"3800 ms",config.xlsx,L_28_V30_80.mp4,79,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,5702,40.83,5c83dfef72a7ef00107828b5
29,cbdd475b3d298234ad4f13589445f4ca,"Tuesday 11th of February 2025 01:29:37 PM UTC",Denmark,"31 to 45",Other,GCSEs,Other,"Positive (+)",Low,Art,Fair,"1800 ms",config.xlsx,S_2_V100_50.mp4,5,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,8738,25.27,55e04d4c3b268b00110294fe
30,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:29:40 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Bad,"5500 ms",config.xlsx,L_4_V30_80.mp4,63,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,918,6.57,67276dbe692855fb2502a266
31,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:29:44 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Excellent,"3500 ms",config.xlsx,S_16_V100_50.mp4,38,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,23765,56.81,5c83dfef72a7ef00107828b5
32,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:30:08 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Good,"6500 ms",config.xlsx,S_18_V100_50.mp4,42,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,22560,53.92,67276dbe692855fb2502a266
33,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:30:09 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Fair,"3400 ms",config.xlsx,S_5_V30_80.mp4,11,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,1230,3.09,5c83dfef72a7ef00107828b5
34,cbdd475b3d298234ad4f13589445f4ca,"Tuesday 11th of February 2025 01:30:43 PM UTC",Denmark,"31 to 45",Other,GCSEs,Other,"Positive (+)",Low,Art,Bad,"5000 ms",config.xlsx,L_11_V50_100.mp4,68,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,27807,199.09,55e04d4c3b268b00110294fe
35,cbdd475b3d298234ad4f13589445f4ca,"Tuesday 11th of February 2025 01:31:06 PM UTC",Denmark,"31 to 45",Other,GCSEs,Other,"Positive (+)",Low,Art,Fair,"1400 ms",config.xlsx,S_16_V30_80.mp4,36,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,1903,4.55,55e04d4c3b268b00110294fe
36,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:31:12 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Fair,"2600 ms",config.xlsx,L_1_V80_30.mp4,61,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,3309,23.86,67276dbe692855fb2502a266
37,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:31:14 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Fair,"3900 ms",config.xlsx,L_1_V80_30.mp4,61,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,3309,23.86,5c83dfef72a7ef00107828b5
38,cbdd475b3d298234ad4f13589445f4ca,"Tuesday 11th of February 2025 01:31:27 PM UTC",Denmark,"31 to 45",Other,GCSEs,Other,"Positive (+)",Low,Art,Fair,"1400 ms",config.xlsx,S_4_V100_50.mp4,10,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,11913,27.01,55e04d4c3b268b00110294fe
39,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:31:35 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Poor,"2100 ms",config.xlsx,S_12_V30_80.mp4,27,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,3583,8.56,67276dbe692855fb2502a266
40,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:31:43 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Good,"3600 ms",config.xlsx,S_2_V100_50.mp4,5,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,8738,25.27,5c83dfef72a7ef00107828b5
41,cbdd475b3d298234ad4f13589445f4ca,"Tuesday 11th of February 2025 01:31:52 PM UTC",Denmark,"31 to 45",Other,GCSEs,Other,"Positive (+)",Low,Art,Fair,"3700 ms",config.xlsx,S_10_V50_100.mp4,23,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,32503,77.69,55e04d4c3b268b00110294fe
42,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:31:58 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Good,"2300 ms",config.xlsx,S_21_V30_80.mp4,48,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,4624,11.05,67276dbe692855fb2502a266
43,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:32:02 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Poor,"4200 ms",config.xlsx,S_26_V100_50.mp4,60,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,21191,35.66,5c83dfef72a7ef00107828b5
44,cbdd475b3d298234ad4f13589445f4ca,"Tuesday 11th of February 2025 01:32:08 PM UTC",Denmark,"31 to 45",Other,GCSEs,Other,"Positive (+)",Low,Art,Fair,"900 ms",config.xlsx,S_25_V30_80.mp4,57,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,1441,2.33,55e04d4c3b268b00110294fe
45,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:32:16 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Fair,"3300 ms",config.xlsx,S_25_V80_30.mp4,58,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,1162,1.88,67276dbe692855fb2502a266
46,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:32:27 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Fair,"3400 ms",config.xlsx,S_12_V80_30.mp4,28,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,3553,8.49,5c83dfef72a7ef00107828b5
47,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:32:39 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Excellent,"2400 ms",config.xlsx,S_18_V50_100.mp4,41,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,19965,47.72,67276dbe692855fb2502a266
48,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:32:52 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Poor,"3800 ms",config.xlsx,S_9_V30_80.mp4,20,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,1935,4.62,5c83dfef72a7ef00107828b5
49,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:33:03 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Good,"3000 ms",config.xlsx,S_10_V50_100.mp4,23,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,32503,77.69,67276dbe692855fb2502a266
50,cbdd475b3d298234ad4f13589445f4ca,"Tuesday 11th of February 2025 01:33:12 PM UTC",Denmark,"31 to 45",Other,GCSEs,Other,"Positive (+)",Low,Art,Poor,"3300 ms",config.xlsx,L_1_V80_30.mp4,61,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,3309,23.86,55e04d4c3b268b00110294fe
51,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:33:18 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Fair,"5600 ms",config.xlsx,S_23_V80_30.mp4,54,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,1513,3.62,5c83dfef72a7ef00107828b5
52,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:33:26 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Poor,"1700 ms",config.xlsx,S_14_V80_30.mp4,31,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,5947,14.21,67276dbe692855fb2502a266
53,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:33:43 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Fair,"3100 ms",config.xlsx,S_9_V80_30.mp4,21,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,1959,4.68,5c83dfef72a7ef00107828b5
54,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:33:44 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Poor,"1800 ms",config.xlsx,S_3_V80_30.mp4,7,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,2354,4.49,67276dbe692855fb2502a266
55,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:34:06 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Good,"1800 ms",config.xlsx,S_22_V50_100.mp4,51,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,61,16:9,23450,56.05,5c83dfef72a7ef00107828b5
56,cbdd475b3d298234ad4f13589445f4ca,"Tuesday 11th of February 2025 01:34:22 PM UTC",Denmark,"31 to 45",Other,GCSEs,Other,"Positive (+)",Low,Art,Fair,"1800 ms",config.xlsx,L_29_V50_100.mp4,80,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,35119,251.44,55e04d4c3b268b00110294fe
57,d7d1445c4651b6006d1c864815d1065e,"Tuesday 11th of February 2025 01:34:32 PM UTC",Italy,"31 to 45",Female,Undergraduate,Pedagogical,"Positive (+)",Low,"Cars, automotive",Fair,"4200 ms",config.xlsx,S_20_V50_100.mp4,46,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,24731,59.12,6522a845667b34e59e0b77d7
58,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:34:34 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Poor,"2300 ms",config.xlsx,S_1_V30_80.mp4,1,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,2067,6.07,5c83dfef72a7ef00107828b5
59,cbdd475b3d298234ad4f13589445f4ca,"Tuesday 11th of February 2025 01:34:45 PM UTC",Denmark,"31 to 45",Other,GCSEs,Other,"Positive (+)",Low,Art,Fair,"1200 ms",config.xlsx,S_15_V30_80.mp4,34,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,5511,13.17,55e04d4c3b268b00110294fe
60,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:34:47 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Poor,"1700 ms",config.xlsx,L_19_V80_30.mp4,73,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,2271,16.26,67276dbe692855fb2502a266
61,d7d1445c4651b6006d1c864815d1065e,"Tuesday 11th of February 2025 01:34:55 PM UTC",Italy,"31 to 45",Female,Undergraduate,Pedagogical,"Positive (+)",Low,"Cars, automotive",Bad,"1700 ms",config.xlsx,S_5_V80_30.mp4,12,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,1687,4.25,6522a845667b34e59e0b77d7
62,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:34:58 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Excellent,"2800 ms",config.xlsx,S_18_V100_50.mp4,42,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,22560,53.92,5c83dfef72a7ef00107828b5
63,d7d1445c4651b6006d1c864815d1065e,"Tuesday 11th of February 2025 01:35:19 PM UTC",Italy,"31 to 45",Female,Undergraduate,Pedagogical,"Positive (+)",Low,"Cars, automotive",Poor,"2200 ms",config.xlsx,S_14_V100_50.mp4,33,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,23189,55.43,6522a845667b34e59e0b77d7
64,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:35:24 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Fair,"4500 ms",config.xlsx,S_22_V30_80.mp4,50,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,6846,16.36,5c83dfef72a7ef00107828b5
65,cbdd475b3d298234ad4f13589445f4ca,"Tuesday 11th of February 2025 01:35:47 PM UTC",Denmark,"31 to 45",Other,GCSEs,Other,"Positive (+)",Low,Art,Good,"1300 ms",config.xlsx,L_8_V100_50.mp4,66,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,17100,122.43,55e04d4c3b268b00110294fe
66,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:35:49 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Fair,"4000 ms",config.xlsx,S_12_V30_80.mp4,27,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,3583,8.56,5c83dfef72a7ef00107828b5
67,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:35:51 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Good,"2600 ms",config.xlsx,L_26_V100_50.mp4,78,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,42794,306.39,67276dbe692855fb2502a266
68,d7d1445c4651b6006d1c864815d1065e,"Tuesday 11th of February 2025 01:35:58 PM UTC",Italy,"31 to 45",Female,Undergraduate,Pedagogical,"Positive (+)",Low,"Cars, automotive",Fair,"8500 ms",config.xlsx,L_16_V30_80.mp4,71,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,2162,7.77,6522a845667b34e59e0b77d7
69,cbdd475b3d298234ad4f13589445f4ca,"Tuesday 11th of February 2025 01:36:11 PM UTC",Denmark,"31 to 45",Other,GCSEs,Other,"Positive (+)",Low,Art,Fair,"2400 ms",config.xlsx,S_9_V50_100.mp4,22,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,21809,52.13,55e04d4c3b268b00110294fe
70,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:36:13 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Bad,"800 ms",config.xlsx,S_7_V30_80.mp4,15,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,2181,5.21,67276dbe692855fb2502a266
71,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:36:18 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Fair,"3300 ms",config.xlsx,S_1_V100_50.mp4,3,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,11622,34.12,5c83dfef72a7ef00107828b5
72,d7d1445c4651b6006d1c864815d1065e,"Tuesday 11th of February 2025 01:36:32 PM UTC",Italy,"31 to 45",Female,Undergraduate,Pedagogical,"Positive (+)",Low,"Cars, automotive",Fair,"13600 ms",config.xlsx,S_6_V100_50.mp4,14,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,12952,29.46,6522a845667b34e59e0b77d7
73,cbdd475b3d298234ad4f13589445f4ca,"Tuesday 11th of February 2025 01:36:35 PM UTC",Denmark,"31 to 45",Other,GCSEs,Other,"Positive (+)",Low,Art,Fair,"2500 ms",config.xlsx,S_19_V30_80.mp4,43,"Chrome 133.0.0.0","2560 X 1440",Windows,1080,1920,60,16:9,4873,11.65,55e04d4c3b268b00110294fe
