Serial No.,Session ID:,Timestamp (UTC),Country,Age,Gender,Education,Education Type,Mood,Tiredness,Interests,Selection,Time,File Name,URL,Video_ID,Browser,Screen Size,OS,Height,Width,FPS,Aspect Ratio,Bitrate (Kbps),File Size (MB),PROLIFIC_PID
13,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:40:31 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Fair,"800 ms",config.xlsx,S_6_ProfileC70.mp4,13,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,2927,6.64,63d3f928e97451dbc1c745da
14,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:40:52 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Fair,"800 ms",config.xlsx,S_20_ProfileC70.mp4,14,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,8365,19.95,63d3f928e97451dbc1c745da
15,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:41:14 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Poor,"1300 ms",config.xlsx,S_18_ProfileC30.mp4,15,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,2083,4.97,63d3f928e97451dbc1c745da
16,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:41:36 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Good,"1600 ms",config.xlsx,S_9_ProfileC90.mp4,16,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,25382,60.55,63d3f928e97451dbc1c745da
17,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:41:58 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Poor,"1100 ms",config.xlsx,S_21_ProfileC30.mp4,17,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,1778,4.24,63d3f928e97451dbc1c745da
18,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:42:20 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Poor,"800 ms",config.xlsx,S_5_ProfileC50.mp4,18,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,869,2.18,63d3f928e97451dbc1c745da
19,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:42:43 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Bad,"1600 ms",config.xlsx,S_16_ProfileC30.mp4,19,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,966,2.31,63d3f928e97451dbc1c745da
20,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:42:59 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Excellent,"1600 ms",config.xlsx,S_25_ProfileC90.mp4,20,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,7669,12.38,63d3f928e97451dbc1c745da
21,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:43:25 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Fair,"5500 ms",config.xlsx,S_8_ProfileC30.mp4,21,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,649,1.55,63d3f928e97451dbc1c745da
22,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:43:48 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Good,"3600 ms",config.xlsx,S_2_ProfileC70.mp4,22,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,1202,2.73,63d3f928e97451dbc1c745da
23,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:44:10 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Good,"1000 ms",config.xlsx,S_9_ProfileC90.mp4,23,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,25382,60.55,63d3f928e97451dbc1c745da
24,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:44:32 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Excellent,"1300 ms",config.xlsx,S_13_ProfileC90.mp4,24,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,11256,26.85,63d3f928e97451dbc1c745da
25,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:44:54 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Excellent,"1500 ms",config.xlsx,S_22_ProfileC70.mp4,25,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,8985,21.43,63d3f928e97451dbc1c745da
26,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:45:18 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Good,"3500 ms",config.xlsx,S_18_ProfileC70.mp4,26,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,7524,17.95,63d3f928e97451dbc1c745da
27,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:45:45 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Good,"1500 ms",config.xlsx,S_1_ProfileC90.mp4,27,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,7355,21.55,63d3f928e97451dbc1c745da
28,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:46:07 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Fair,"1800 ms",config.xlsx,S_20_ProfileC30.mp4,28,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,2153,5.14,63d3f928e97451dbc1c745da
29,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:46:35 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Fair,"2400 ms",config.xlsx,S_1_ProfileC50.mp4,29,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,1571,4.60,63d3f928e97451dbc1c745da
30,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:46:57 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Excellent,"1300 ms",config.xlsx,S_17_ProfileC90.mp4,30,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,27006,64.42,63d3f928e97451dbc1c745da
31,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:47:19 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Poor,"1800 ms",config.xlsx,S_8_ProfileC30.mp4,31,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,649,1.55,63d3f928e97451dbc1c745da
32,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:47:45 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Fair,"5300 ms",config.xlsx,S_19_ProfileC50.mp4,32,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,3423,8.16,63d3f928e97451dbc1c745da
33,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:48:10 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Fair,"4600 ms",config.xlsx,S_20_ProfileC30.mp4,33,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,2153,5.14,63d3f928e97451dbc1c745da
34,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:48:35 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Fair,"4000 ms",config.xlsx,S_9_ProfileC50.mp4,34,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,1167,2.78,63d3f928e97451dbc1c745da
35,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:48:56 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Poor,"1100 ms",config.xlsx,S_4_ProfileC30.mp4,35,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,187,0.42,63d3f928e97451dbc1c745da
36,9c1ada7da14caa5a81d833407f77fe93,"Sunday 23rd of February 2025 02:49:14 PM UTC",Latvia,"19 to 30",Other,"Primary School",Other,"Positive (+)",Low,Art,Good,"4000 ms",config.xlsx,S_19_ProfileC50.mp4,1,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,3423,8.16,5b2ffddaa8327d0001ffec6d
37,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:49:19 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Good,"2100 ms",config.xlsx,S_5_ProfileC90.mp4,36,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,6923,17.38,63d3f928e97451dbc1c745da
38,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:49:40 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Good,"1600 ms",config.xlsx,S_6_ProfileC70.mp4,37,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,2927,6.64,63d3f928e97451dbc1c745da
39,9c1ada7da14caa5a81d833407f77fe93,"Sunday 23rd of February 2025 02:49:44 PM UTC",Latvia,"19 to 30",Other,"Primary School",Other,"Positive (+)",Low,Art,Fair,"4000 ms",config.xlsx,S_1_ProfileC50.mp4,2,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,1571,4.60,5b2ffddaa8327d0001ffec6d
40,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:50:02 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Excellent,"900 ms",config.xlsx,S_19_ProfileC90.mp4,38,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,22810,54.41,63d3f928e97451dbc1c745da
41,9c1ada7da14caa5a81d833407f77fe93,"Sunday 23rd of February 2025 02:50:06 PM UTC",Latvia,"19 to 30",Other,"Primary School",Other,"Positive (+)",Low,Art,Poor,"1100 ms",config.xlsx,S_16_ProfileC30.mp4,3,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,966,2.31,5b2ffddaa8327d0001ffec6d
42,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:50:23 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Good,"1200 ms",config.xlsx,S_13_ProfileC90.mp4,39,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,11256,26.85,63d3f928e97451dbc1c745da
43,9c1ada7da14caa5a81d833407f77fe93,"Sunday 23rd of February 2025 02:50:29 PM UTC",Latvia,"19 to 30",Other,"Primary School",Other,"Positive (+)",Low,Art,Excellent,"1100 ms",config.xlsx,S_19_ProfileC90.mp4,4,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,22810,54.41,5b2ffddaa8327d0001ffec6d
44,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:50:45 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Bad,"900 ms",config.xlsx,S_10_ProfileC30.mp4,40,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,449,1.07,63d3f928e97451dbc1c745da
45,9c1ada7da14caa5a81d833407f77fe93,"Sunday 23rd of February 2025 02:50:50 PM UTC",Latvia,"19 to 30",Other,"Primary School",Other,"Positive (+)",Low,Art,Bad,"1300 ms",config.xlsx,S_2_ProfileC30.mp4,5,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,493,1.12,5b2ffddaa8327d0001ffec6d
46,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:51:07 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Excellent,"1400 ms",config.xlsx,S_11_ProfileC90.mp4,41,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,37119,88.54,63d3f928e97451dbc1c745da
47,9c1ada7da14caa5a81d833407f77fe93,"Sunday 23rd of February 2025 02:51:12 PM UTC",Latvia,"19 to 30",Other,"Primary School",Other,"Positive (+)",Low,Art,Good,"1000 ms",config.xlsx,S_10_ProfileC70.mp4,6,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,2106,5.02,5b2ffddaa8327d0001ffec6d
48,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:51:29 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Bad,"1200 ms",config.xlsx,S_24_ProfileC30.mp4,42,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,615,1.47,63d3f928e97451dbc1c745da
49,9c1ada7da14caa5a81d833407f77fe93,"Sunday 23rd of February 2025 02:51:34 PM UTC",Latvia,"19 to 30",Other,"Primary School",Other,"Positive (+)",Low,Art,Poor,"1300 ms",config.xlsx,S_12_ProfileC30.mp4,7,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,1011,2.41,5b2ffddaa8327d0001ffec6d
50,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:51:50 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Poor,"900 ms",config.xlsx,S_16_ProfileC30.mp4,43,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,966,2.31,63d3f928e97451dbc1c745da
51,9c1ada7da14caa5a81d833407f77fe93,"Sunday 23rd of February 2025 02:51:51 PM UTC",Latvia,"19 to 30",Other,"Primary School",Other,"Positive (+)",Low,Art,Fair,"2000 ms",config.xlsx,S_26_ProfileC70.mp4,8,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,3452,5.81,5b2ffddaa8327d0001ffec6d
52,f363430c17c47b53372557caec7ade45,"Sunday 23rd of February 2025 02:51:57 PM UTC",Brazil,"19 to 30",Male,Post-Graduate,Administrative,"Neutral (0)",Low,"Cars, automotive",Poor,"3500 ms",config.xlsx,S_19_ProfileC50.mp4,1,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,165,16:9,3423,8.16,672424ca4e8e26ce7ca1a389
53,9c1ada7da14caa5a81d833407f77fe93,"Sunday 23rd of February 2025 02:52:14 PM UTC",Latvia,"19 to 30",Other,"Primary School",Other,"Positive (+)",Low,Art,Excellent,"1000 ms",config.xlsx,S_16_ProfileC70.mp4,9,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,4282,10.21,5b2ffddaa8327d0001ffec6d
54,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:52:14 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Fair,"3700 ms",config.xlsx,S_9_ProfileC50.mp4,44,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,1167,2.78,63d3f928e97451dbc1c745da
55,f363430c17c47b53372557caec7ade45,"Sunday 23rd of February 2025 02:52:27 PM UTC",Brazil,"19 to 30",Male,Post-Graduate,Administrative,"Neutral (0)",Low,"Cars, automotive",Poor,"2500 ms",config.xlsx,S_1_ProfileC50.mp4,2,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,165,16:9,1571,4.60,672424ca4e8e26ce7ca1a389
56,9c1ada7da14caa5a81d833407f77fe93,"Sunday 23rd of February 2025 02:52:36 PM UTC",Latvia,"19 to 30",Other,"Primary School",Other,"Positive (+)",Low,Art,Excellent,"800 ms",config.xlsx,S_21_ProfileC90.mp4,10,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,,,5b2ffddaa8327d0001ffec6d
57,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:52:36 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Excellent,"1500 ms",config.xlsx,S_22_ProfileC70.mp4,45,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,8985,21.43,63d3f928e97451dbc1c745da
58,f363430c17c47b53372557caec7ade45,"Sunday 23rd of February 2025 02:52:50 PM UTC",Brazil,"19 to 30",Male,Post-Graduate,Administrative,"Neutral (0)",Low,"Cars, automotive",Poor,"900 ms",config.xlsx,S_16_ProfileC30.mp4,3,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,165,16:9,966,2.31,672424ca4e8e26ce7ca1a389
59,9c1ada7da14caa5a81d833407f77fe93,"Sunday 23rd of February 2025 02:52:57 PM UTC",Latvia,"19 to 30",Other,"Primary School",Other,"Positive (+)",Low,Art,Bad,"1000 ms",config.xlsx,S_24_ProfileC30.mp4,11,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,615,1.47,5b2ffddaa8327d0001ffec6d
60,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:52:58 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Excellent,"1300 ms",config.xlsx,S_19_ProfileC90.mp4,46,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,22810,54.41,63d3f928e97451dbc1c745da
61,f363430c17c47b53372557caec7ade45,"Sunday 23rd of February 2025 02:53:16 PM UTC",Brazil,"19 to 30",Male,Post-Graduate,Administrative,"Neutral (0)",Low,"Cars, automotive",Good,"1800 ms",config.xlsx,S_19_ProfileC90.mp4,4,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,165,16:9,22810,54.41,672424ca4e8e26ce7ca1a389
62,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:53:18 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Excellent,"800 ms",config.xlsx,S_4_ProfileC90.mp4,47,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,12306,27.90,63d3f928e97451dbc1c745da
63,9c1ada7da14caa5a81d833407f77fe93,"Sunday 23rd of February 2025 02:53:20 PM UTC",Latvia,"19 to 30",Other,"Primary School",Other,"Positive (+)",Low,Art,Fair,"1400 ms",config.xlsx,S_20_ProfileC30.mp4,12,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,2153,5.14,5b2ffddaa8327d0001ffec6d
64,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:53:34 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Excellent,"1000 ms",config.xlsx,S_25_ProfileC90.mp4,48,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,7669,12.38,63d3f928e97451dbc1c745da
65,f363430c17c47b53372557caec7ade45,"Sunday 23rd of February 2025 02:53:38 PM UTC",Brazil,"19 to 30",Male,Post-Graduate,Administrative,"Neutral (0)",Low,"Cars, automotive",Bad,"700 ms",config.xlsx,S_2_ProfileC30.mp4,5,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,165,16:9,493,1.12,672424ca4e8e26ce7ca1a389
66,9c1ada7da14caa5a81d833407f77fe93,"Sunday 23rd of February 2025 02:53:41 PM UTC",Latvia,"19 to 30",Other,"Primary School",Other,"Positive (+)",Low,Art,Excellent,"1100 ms",config.xlsx,S_6_ProfileC70.mp4,13,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,2927,6.64,5b2ffddaa8327d0001ffec6d
67,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:53:55 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Fair,"1000 ms",config.xlsx,S_19_ProfileC50.mp4,49,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,3423,8.16,63d3f928e97451dbc1c745da
68,f363430c17c47b53372557caec7ade45,"Sunday 23rd of February 2025 02:54:01 PM UTC",Brazil,"19 to 30",Male,Post-Graduate,Administrative,"Neutral (0)",Low,"Cars, automotive",Fair,"400 ms",config.xlsx,S_10_ProfileC70.mp4,6,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,165,16:9,2106,5.02,672424ca4e8e26ce7ca1a389
69,9c1ada7da14caa5a81d833407f77fe93,"Sunday 23rd of February 2025 02:54:03 PM UTC",Latvia,"19 to 30",Other,"Primary School",Other,"Positive (+)",Low,Art,Excellent,"800 ms",config.xlsx,S_20_ProfileC70.mp4,14,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,8365,19.95,5b2ffddaa8327d0001ffec6d
70,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:54:18 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Poor,"2000 ms",config.xlsx,S_5_ProfileC50.mp4,50,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,869,2.18,63d3f928e97451dbc1c745da
71,f363430c17c47b53372557caec7ade45,"Sunday 23rd of February 2025 02:54:25 PM UTC",Brazil,"19 to 30",Male,Post-Graduate,Administrative,"Neutral (0)",Low,"Cars, automotive",Poor,"1100 ms",config.xlsx,S_12_ProfileC30.mp4,7,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,165,16:9,1011,2.41,672424ca4e8e26ce7ca1a389
72,9c1ada7da14caa5a81d833407f77fe93,"Sunday 23rd of February 2025 02:54:25 PM UTC",Latvia,"19 to 30",Other,"Primary School",Other,"Positive (+)",Low,Art,Poor,"1100 ms",config.xlsx,S_18_ProfileC30.mp4,15,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,2083,4.97,5b2ffddaa8327d0001ffec6d
